"We can't find products matching the selection.","We can't find products matching the selection."
"Add to Cart","Add to Cart"
"In stock","In stock"
"Out of stock","Out of stock"
"Learn More","Learn More"
"show %1-%2 of %3 products","show %1-%2 of %3 products"
"Show %1 products","Show %1 products"
"Sort By","Sort By"
"Regular Price","Regular Price"
or,or
"Shop By","Shop By"
"Clear All","Clear All"
Options,Options
Newsletter,Newsletter
"Sign Up for Our Newsletter:","Sign Up for Our Newsletter:"
"Enter your e-mail","Enter your e-mail"
Subscribe,Subscribe
Search,Search
"Items %1 to %2 of %3 total","Items %1 to %2 of %3 total"
"%1 Item","%1 Item"
"%1 Item(s)","%1 Item(s)"
Page,Page
Previous,Previous
"Skip to page %1","Skip to page %1"
"You're currently reading page","You're currently reading page"
Next,Next
Show,Show
"per page","per page"
Item,PRODUCTS
Price,PRICE
"See price before order confirmation.","See price before order confirmation."
"What's this?","What's this?"
Qty,QUANTITY
Subtotal,TOTAL
Update Shopping Cart,UPDATE CART
Enter discount code, COUPON
Apply Discount, APPLY
Summary, CART TOTALS
Proceed to Checkout, CHECKOUT
Order Total, TOTAL
